name,index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,target,batch
Molecule_1085,1085,0.329305987,0.500428196,-0.03182106,-0.01682106,-0.02464212,0.67064212,0.805,0.774389542,1.382389542,0.003517894,0.00317894,-0.564066927,-0.688173181,-0.957160324,-0.026105301,-0.013926361,-0.019926361,1.73582106,4.952463181,1.51335788,24.43860087,6.667315904,0.092977908,0.002,0.09064212,0.241477995,0.537131569,1.063442144,-0.17782106,-0.062284241,-0.11964212,0.354,0.58764212,5.522,4.089220916,57.06173711,19.01292636,1.463370689,0.001,0.004,1.458242265,-127.2308746,0.21563412,-128.9085784,10.51797123,-7.007969513,-6.792369441,-7.564088294,78872.25331,1896675.457,437.1225784,2.79360427,17.11395484,17.11395484,1.291721703,-13.13299686,0.440270241,71.25581395,629.704,583.336,629.2877567,229,19.0,0.0
Molecule_1136,1136,0.36219002,0.544656379,-0.025243933,-0.002486054,-0.013864994,0.638024832,0.804540958,0.642935539,1.258936536,0.004462247,0.00454055,-0.549160989,-0.663525322,-0.943732311,-0.030592053,-0.006322631,-0.018457047,1.746298613,4.917374764,1.521000184,24.08718894,6.619598447,0.108682359,0.002,0.106136595,0.284642974,0.548385672,1.154215017,-0.147432819,-0.023835251,-0.085404809,0.356784667,0.58505254,5.509540327,4.303919263,56.77915413,18.96551213,1.292094841,0.00045945,0.002,1.289370603,-151.689922,0.010182196,-153.7161976,14.42608077,-7.318276447,-7.308123463,-8.038870353,107178.9247,2610797.8,512.0532864,3.083935212,17.9160355,17.9160355,1.387193791,-13.46584046,0.244951168,56.76923077,748.783,701.407,748.288485,271,20.0,0.0
Molecule_1171,1171,0.368876676,0.566152362,-0.025950763,0.002452061,-0.012053629,0.630792192,0.803013407,0.603784168,1.220737241,0.005269573,0.004993296,-0.543945425,-0.663730264,-0.953782794,-0.022577285,-0.001532778,-0.012389549,1.739552761,4.924478732,1.523277331,23.96584205,6.603019911,0.130633122,0.002932818,0.128012967,0.297554543,0.541343917,1.133636139,-0.135528918,-0.048655707,-0.092058722,0.354910535,0.599100494,5.504684826,4.206973941,56.69557063,18.95175165,1.271778687,0.001,0.002993298,1.26788805,-165.2564415,0.056346133,-167.3169191,19.5797269,-7.768457258,-7.712128819,-8.388143942,122928.1289,3022027.213,545.8281904,2.987559805,17.86062723,17.86062723,1.533666667,-13.7007023,0.137835596,54.56363636,817.868,767.468,817.2769343,293,22.0,0.0
Molecule_1331,1331,0.3253,0.49632,-0.034,-0.034,-0.034,0.675,0.805,0.784,1.391,0.002,0.002,-0.60364428,-0.71641,-0.98005,-0.046,-0.051,-0.049,1.743,4.973,1.49,25.404,6.796,0.1207,0.001,0.119,0.21333662,0.53348,1.00553,-0.125,-0.15,-0.137,0.357,0.558,5.552,3.0,57.246,19.043,1.5715,0.004,0.007,1.561,-105.0724128,0.4408704,-106.4447715,7.463,-7.262,-6.8211,-7.5038,54200.26562,1298631.993,363.069412,2.5789,16.19675265,16.19675265,1.233042564,-12.51353576,0.630111161,76.34285714,523.58,483.26,523.2458919,189,23.0,0.0
Molecule_1520,1520,0.324685959,0.495977696,-0.022052303,-0.026508325,-0.024011492,0.675646545,0.805,0.777566625,1.384780997,0.003214971,0.003462356,-0.584091492,-0.705179602,-0.973719007,-0.028041675,-0.031584477,-0.029613796,1.737775,4.967646545,1.505566963,24.91651626,6.731715711,0.117054018,0.002,0.11512212,0.243450482,0.536057414,1.00766651,-0.096759189,-0.121356572,-0.109326703,0.348763508,0.568039948,5.547635916,3.349577434,57.04851291,19.0103862,1.786579357,0.002612932,0.007872409,1.776035742,-173.7354036,0.13106023,-176.1677894,11.87828295,-7.310480868,-7.179433339,-7.668879179,171114.0105,4237891.227,647.547131,3.288488021,18.04701919,18.04701919,2.3037893,-15.25152096,0.155314553,59.03448276,872.259,795.651,871.4763608,319,25.0,0.0
Molecule_1557,1557,0.35508,0.53477,-0.028,-0.006,-0.017,0.645,0.805,0.649,1.265,0.0047,0.005,-0.55765003,-0.67312,-0.95399,-0.026,-0.006,-0.016,1.746,4.927,1.52,24.282,6.646,0.1064,0.002,0.104,0.2953577,0.54699,1.11991,-0.17,-0.023,-0.097,0.358,0.567,5.528,4.19,56.71,18.954,1.4177,0.001,0.003,1.414,-195.0844314,0.03075285,-197.774043,15.932,-7.0791,-7.0483,-7.8897,208685.7035,5122482.542,711.603235,3.222,19.51403595,19.51403595,2.05985566,-16.1828501,0.153679189,58.21538462,969.376,885.712,968.5291246,357,26.0,0.0
Molecule_1579,1579,0.314805903,0.48460049,-0.030190148,-0.033558668,-0.031874401,0.684984358,0.805,0.858452507,1.455285912,0.00273725,0.002437257,-0.609179938,-0.723616159,-0.984985908,-0.023780522,-0.04581341,-0.035015573,1.73018648,4.993546962,1.489828753,25.54126062,6.813862137,0.101443336,0.001437243,0.100225889,0.211473545,0.528169287,0.989463118,-0.142854779,-0.158999371,-0.150927075,0.339772947,0.57826889,5.553635191,3.054334153,57.25959209,19.04556436,1.644767599,0.002684323,0.006813815,1.635484949,-191.7375985,0.672301634,-194.3057587,8.641020741,-7.428208071,-6.755872013,-7.533927691,200398.2141,4822161.239,691.9647209,2.749425475,19.20444148,19.20444148,2.958037077,-16.29703156,0.196115123,62.48387097,939.391,849.679,938.5760748,351,28.0,0.0
Molecule_1616,1616,0.321960061,0.493349904,-0.029000235,-0.033997417,-0.031998826,0.678,0.805,0.799001409,1.404001174,0.001900352,0.002000235,-0.61596398,-0.721796234,-0.981907535,-0.040995774,-0.054991782,-0.047993661,1.742997887,4.977998591,1.478006574,25.72179456,6.836972999,0.127693496,0.001000235,0.125993426,0.217122303,0.534998673,1.012332987,-0.108012914,-0.153988965,-0.131000939,0.354998122,0.552006809,5.557996478,3.005165763,57.22199178,19.03899883,1.65561282,0.003999296,0.007,1.645013383,-167.4502774,0.399415106,-169.753512,6.702185486,-7.098770252,-6.699368561,-7.348494342,162007.5302,3954681.348,625.0456675,2.807531533,18.60386431,18.60386431,2.69240166,-15.71303028,0.231374255,68.07272727,836.27,755.63,835.5127463,309,29.0,0.0
Molecule_1765,1765,0.31354,0.4818,-0.024,-0.036,-0.03,0.686,0.805,0.815,1.418,0.0022,0.002,-0.58698938,-0.71828,-0.97829,-0.026,-0.047,-0.036,1.74,4.978,1.5,24.993,6.741,0.1034,0.002,0.102,0.1470872,0.52287,0.93051,-0.099,-0.236,-0.168,0.351,0.576,5.55,2.879,57.686,19.116,1.7066,0.005,0.006,1.696,-201.0404876,0.27245504,-203.8314559,11.134,-6.8131,-6.5406,-6.9742,201311.3794,4919740.681,698.356599,2.684,18.99155041,18.99155041,1.39051963,-14.78377475,0.139781526,57.94202899,997.178,929.642,996.4232046,363,30.0,0.0
Molecule_1861,1861,0.297006406,0.468457213,-0.019167802,-0.041055934,-0.030111868,0.703440661,0.805,0.911482974,1.499874512,0.002677626,0.002944066,-0.602973379,-0.727823439,-0.978939946,-0.003727141,-0.059888132,-0.031335603,1.730335603,4.997608463,1.479944066,25.40429474,6.795216925,0.095481713,0.002,0.093615273,0.11710729,0.499121785,0.884427827,-0.120167802,-0.244384727,-0.181776264,0.341223736,0.623440661,5.536167802,2.913034052,57.8856644,19.14994407,1.757256224,0.005,0.008,1.744433851,-200.18669,0.366824442,-203.0872179,7.894800045,-6.717996695,-6.351188958,-6.891557006,207913.0113,4944319.14,708.6724315,2.723339154,19.16549658,19.16549658,1.457246332,-14.99496574,0.14139303,57.13043478,977.21,901.61,976.5239047,365,32.0,0.0
